timestamp,freq_hz,s_meter
2026-08-10 10:48:09,14038750,-32
2026-08-10 10:48:09,14039000,-30
2026-08-10 10:48:10,14039250,-33
2026-08-10 10:48:11,14039500,-33
2026-08-10 10:48:12,14039750,-33
2026-08-10 10:48:13,14040000,-43
2026-08-10 10:48:14,14040250,-42
2026-08-10 10:48:15,14040500,-40
2026-08-10 10:48:16,14040750,-40
2026-08-10 10:48:16,14041000,-39
2026-08-10 10:48:17,14041250,-38
2026-08-10 10:48:18,14041500,-40
2026-08-10 10:48:19,14041750,-42
2026-08-10 10:48:20,14042000,-41
2026-08-10 10:48:21,14042250,-41
2026-08-10 10:48:22,14042500,-40
2026-08-10 10:48:23,14042750,-40
2026-08-10 10:48:23,14043000,-41
2026-08-10 10:48:24,14043250,-43
2026-08-10 10:48:25,14043500,-42
2026-08-10 10:48:26,14043750,-43
2026-08-10 10:48:27,14044000,-42
2026-08-10 10:48:28,14044250,-41
2026-08-10 10:48:29,14044500,-41
2026-08-10 10:48:30,14044750,-42
2026-08-10 10:48:30,14045000,-43
2026-08-10 10:48:31,14045250,-42
2026-08-10 10:48:32,14045500,-41
2026-08-10 10:48:33,14045750,-42
2026-08-10 10:48:34,14046000,-42
2026-08-10 10:48:35,14046250,-42
2026-08-10 10:48:36,14046500,-40
2026-08-10 10:48:37,14046750,-40
2026-08-10 10:48:37,14047000,-43
2026-08-10 10:48:38,14047250,-43
2026-08-10 10:48:39,14047500,-43
2026-08-10 10:48:40,14047750,-41
2026-08-10 10:48:41,14048000,-43
2026-08-10 10:48:42,14048250,-41
2026-08-10 10:48:43,14048500,-43
2026-08-10 10:48:44,14048750,-42
2026-08-10 10:48:44,14049000,-42
2026-08-10 10:48:45,14049250,-42
2026-08-10 10:48:46,14049500,-42
2026-08-10 10:48:47,14049750,-42
2026-08-10 10:48:48,14050000,-42
2026-08-10 10:48:49,14050250,-41
2026-08-10 10:48:50,14050500,-40
2026-08-10 10:48:51,14050750,-41
2026-08-10 10:48:51,14051000,-42
2026-08-10 10:48:52,14051250,-41
2026-08-10 10:48:53,14051500,-41
2026-08-10 10:48:54,14051750,-42
2026-08-10 10:48:55,14052000,-41
2026-08-10 10:48:56,14052250,-40
2026-08-10 10:48:57,14052500,-40
2026-08-10 10:48:58,14052750,-40
2026-08-10 10:48:59,14053000,-41
2026-08-10 10:48:59,14053250,-42
2026-08-10 10:49:00,14053500,-41
2026-08-10 10:49:01,14053750,-41
2026-08-10 10:49:02,14054000,-32
2026-08-10 10:49:03,14054250,-36
2026-08-10 10:49:04,14054500,-36
2026-08-10 10:49:05,14054750,-40
2026-08-10 10:49:06,14055000,-40
2026-08-10 10:49:06,14055250,-40
2026-08-10 10:49:07,14055500,-40
2026-08-10 10:49:08,14055750,-40
2026-08-10 10:49:09,14056000,-41
2026-08-10 10:49:10,14056250,-41
2026-08-10 10:49:11,14056500,-41
2026-08-10 10:49:12,14056750,-41
2026-08-10 10:49:13,14057000,-38
2026-08-10 10:49:13,14057250,-36
2026-08-10 10:49:14,14057500,-37
2026-08-10 10:49:15,14057750,-40
2026-08-10 10:49:16,14058000,-40
2026-08-10 10:49:17,14058250,-38
2026-08-10 10:49:18,14058500,-39
2026-08-10 10:49:19,14058750,-33
2026-08-10 10:49:20,14059000,-29
2026-08-10 10:49:20,14059250,-30
2026-08-10 10:49:21,14059500,-30
2026-08-10 10:49:22,14059750,-39
2026-08-10 10:49:23,14060000,-42
2026-08-10 10:49:24,14060250,-43
2026-08-10 10:49:25,14060500,-41
2026-08-10 10:49:26,14060750,-42
2026-08-10 10:49:27,14061000,-43
2026-08-10 10:49:28,14061250,-42
2026-08-10 10:49:28,14061500,-37
2026-08-10 10:49:29,14061750,-39
2026-08-10 10:49:30,14062000,-37
2026-08-10 10:49:31,14062250,-38
2026-08-10 10:49:32,14062500,-38
2026-08-10 10:49:33,14062750,-37
2026-08-10 10:49:34,14063000,-39
2026-08-10 10:49:35,14063250,-37
2026-08-10 10:49:35,14063500,-37
2026-08-10 10:49:36,14063750,-37
2026-08-10 10:49:37,14064000,-37
2026-08-10 10:49:38,14064250,-39
2026-08-10 10:49:39,14064500,-38
2026-08-10 10:49:40,14064750,-38
2026-08-10 10:49:41,14065000,-39
2026-08-10 10:49:42,14065250,-40
2026-08-10 10:49:42,14065500,-41
2026-08-10 10:49:43,14065750,-41
2026-08-10 10:49:44,14066000,-43
2026-08-10 10:49:45,14066250,-43
2026-08-10 10:49:46,14066500,-42
2026-08-10 10:49:47,14066750,-43
2026-08-10 10:49:48,14067000,-43
2026-08-10 10:49:49,14067250,-42
2026-08-10 10:49:49,14067500,-42
2026-08-10 10:49:50,14067750,-43
2026-08-10 10:49:51,14068000,-44
2026-08-10 10:49:52,14068250,-43
2026-08-10 10:49:53,14068500,-43
2026-08-10 10:49:54,14068750,-43
2026-08-10 10:49:55,14069000,-41
2026-08-10 10:49:56,14069250,-41
2026-08-10 10:49:56,14069500,-42
2026-08-10 10:49:57,14069750,-43
2026-08-10 10:49:58,14070000,-43
